municipality,lat,lon
Salem,59.233333333,17.683333333
Salems landskommun,59.193611111,17.749444444
Sandviken,60.616666666,16.783333333
Sigtuna,59.633333333,17.883333333
Simrishamn,55.55,14.35
Sjöbo,55.633333333,13.7
Skanör med Falsterbo,55.413611111,12.852777777
Skara,58.383333333,13.433333333
Skellefteå,64.75,20.95
Skinnskatteberg,59.833333333,15.683333333
Skurup,55.483333333,13.5
Skövde,58.383333333,13.85
Smedjebacken,60.133333333,15.416666666
Sollefteå,63.166666666,17.266666666
Sollentuna,59.45,17.916666666
Solna,59.366666666,18.016666666
Sorsele,65.533333333,17.533333333
Sotenäs,58.366666666,11.25
Staffanstorp,55.633333333,13.2
Stenungsund,58.083333333,11.816666666
Stockholm,59.3275,18.054719444
Storfors,59.533333333,14.266666666
Storum,65.1,17.1
Strängnäs,59.376944444,17.035277777
Strömstad,58.933333333,11.166666666
Strömsund,63.85,15.583333333
Sundbyberg,59.363333333,17.965555555
Sundsvall,62.4,17.316666666
Sunne,59.833333333,13.133333333
Surahammar,59.716666666,16.216666666
Svalöv,55.916666666,13.116666666
Svedala,55.5,13.233333333
Svegs,62.034748055,14.364831111
Svenljunga,57.5,13.116666666
Säffle,59.133333333,12.933333333
Säter,60.35,15.75
Sävsjö,57.4,14.666666666
Söderhamn,61.3,17.083333333
Söderköping,58.480277777,16.3225
Södertälje,59.1,17.516666666
Sölvesborg,56.05,14.583333333
Tanum,58.716666666,11.316666666
Tibro,58.416666666,14.166666666
Tidaholm,58.183333333,13.95
Tierp,60.344444444,17.513055555
Timrå,62.5,17.333333333
Tingsryd,56.533333333,14.983333333
Tjörn,58.0,11.55
Tomelilla,55.55,13.95
Torsby,60.133333333,13.0
Torsås,56.4,16.0
Tranemo,57.483333333,13.35
Tranås,58.033333333,14.966666666
Trelleborg,55.366666666,13.166666666
Trollhättan,58.283333333,12.283333333
Trosa,58.893888888,17.552222222
Tyresö,59.233333333,18.216666666
Täby,59.4439,18.06872
Töreboda,58.716666666,14.133333333
Uddevalla,58.35,11.916666666
Ulricehamn,57.791666666,13.412777777
Umeå,63.833333333,20.25
Unnaryd,56.955348888,13.528551944
Upplands Väsby,59.516666666,17.9
Upplands-Bro,59.533333333,17.666666666
Uppsala,59.866666666,17.633333333
Uppvidinge,57.166666666,15.333333333
Vadstena,58.448333333,14.889722222
Vaggeryd,57.5,14.116666666
Valdemarsvik,58.205555555,16.601944444
Vallentuna,59.583333333,18.2
Vansbro,60.516666666,14.216666666
Vara,58.266666666,12.95
Varberg,57.1,12.25
Vaxholm,59.4,18.283333333
Vellinge,55.466666666,13.016666666
Vetlanda,57.433333333,15.066666666
Vilhelmina,64.616666666,16.65
Vimmerby,57.666666666,15.85
Vindeln,64.2,19.716666666
Vingåker,59.033333333,15.866666666
Vinslöv,56.098618888,13.906781944
Vänersborg,58.383333333,12.316666666
Vännäs,63.916666666,19.75
Värmdö,59.316666666,18.566666666
Värnamo,57.183333333,14.033333333
Västervik,57.75,16.633333333
Västerås,59.616666666,16.533333333
Växjö,56.883333333,14.8
Vårgårda,58.033333333,12.8
Ydre,57.827222222,15.273888888
Ystad,55.416666666,13.833333333
Älmhult,56.55,14.133333333
Älvdalen,61.233333333,14.033333333
Älkarleby,60.624444444,17.416111111
Älvsbyn,65.683333333,21.016666666
Ängelholm,56.25,12.85
Åmål,59.05,12.7
Ånge,62.516666666,15.616666666
Åre,63.35,13.466666666
Årjäng,59.383333333,12.133333333
Åsele,64.15,17.35
Åstorp,56.133333333,12.95
Åtvidaberg,58.201666666,15.998055555
Öckerö,57.711111111,11.647222222
Ödeshög,58.230833333,14.652777777
Örebro,59.273888888,15.213333333
Örkelljunga,56.283333333,13.283333333
Örnsköldsvik,63.283333333,18.733333333
Östersund,63.183333333,14.666666666
Österåker,59.5,18.45
Östhammar,60.258888888,18.373611111
Östra Göinge,56.25,14.066666666
Överkalix,66.35,22.883333333
Övertorneå,66.383333333,23.666666666
